temp,RH,wind,rain,caution
33.3,26,2.7,0,1
33.1,25,4,0,0
32.6,26,3.1,0,1
32.4,21,4.5,0,1
32.4,27,2.2,0,0
32.3,27,2.2,0,0
31,27,5.4,0,0
30.8,19,4.5,0,1
30.8,30,4.9,0,0
30.6,28,3.6,0,0
30.2,22,4.9,0,1
30.2,24,2.7,0,0
30.2,25,4.5,0,0
29.6,27,2.7,0,0
29.3,27,3.6,0,0
29.2,30,4.9,0,0
28.9,29,4.9,0,0
28.7,28,2.7,0,0
28.7,33,4,0,0
28.6,27,2.2,0,0
28.3,26,3.1,0,0
28.3,32,4,0,0
28.2,29,1.8,0,0
28,34,4.5,0,0
28,34,4.5,0,0
27.9,27,2.2,0,0
27.9,33,2.2,0,0
27.8,27,3.1,0,0
27.8,32,2.7,0,0
27.8,35,2.7,0,0
27.7,24,2.2,0,1
27.6,30,1.3,0,0
27.5,27,4.9,0,0
27.5,29,4.5,0,0
27.4,22,4,0,0
27.3,63,4.9,6.4,0
27.2,28,1.3,0,0
26.9,28,5.4,0,0
26.9,31,3.6,0,0
26.9,31,3.6,0,0
