PM2.5,PM10,NO2,CO,SO2,O3, AQI ,AQI_Bucket,Level
6.25,24.0,2.07,0.52,5.85,14.7, 28.0 ,Good,1
3.5,20.25,1.9,0.32,5.78,17.13, 28.0 ,Good,1
1.5,17.75,1.75,0.32,4.92,16.65, 28.0 ,Good,1
6.25,18.0,1.78,0.29,4.3,17.63, 28.0 ,Good,1
3.5,20.0,1.45,0.34,5.05,19.6, 28.0 ,Good,1
1.5,24.5,1.55,0.36,4.5,16.67, 28.0 ,Good,1
1.8,27.75,1.5,0.41,4.9,18.63, 28.0 ,Good,1
0.25,25.5,2.12,0.55,5.2,15.2, 28.0 ,Good,1
4.25,40.5,3.47,0.53,5.87,5.9, 28.0 ,Good,1
2.5,25.25,2.57,0.4,5.93,24.0, 28.0 ,Good,1
4.0,29.0,6.07,0.56,5.93,6.38, 28.0 ,Good,1
3.5,31.75,11.67,0.56,5.95,3.9, 28.0 ,Good,1
3.5,39.5,11.42,0.54,6.4,3.9, 28.0 ,Good,1
7.5,35.75,7.73,0.19,5.9,7.33, 28.0 ,Good,1
6.25,27.25,3.98,0.56,6.33,11.25, 28.0 ,Good,1
8.0,23.75,4.1,0.57,5.93,15.67, 28.0 ,Good,1
9.75,30.75,4.08,0.56,6.7,22.03, 28.0 ,Good,1
5.0,36.25,3.85,0.08,9.9,15.18, 28.0 ,Good,1
6.5,22.5,5.2,0.48,6.1,8.33, 29.0 ,Good,1
8.5,21.5,3.4,0.43,6.25,7.8, 29.0 ,Good,1
7.0,17.0,2.65,0.53,6.02,8.8, 29.0 ,Good,1
4.75,18.0,2.42,0.57,6.73,14.2, 29.0 ,Good,1
4.75,28.75,1.75,0.55,5.9,11.75, 29.0 ,Good,1
2.0,35.0,3.57,0.35,8.65,27.93, 29.0 ,Good,1
1.75,30.0,2.68,0.59,6.1,12.23, 30.0 ,Good,1
4.75,28.75,3.2,0.46,5.58,8.33, 30.0 ,Good,1
8.0,24.0,3.07,0.5,6.52,8.8, 30.0 ,Good,1
11.0,21.0,3.12,0.46,6.48,9.8, 30.0 ,Good,1
8.75,21.75,6.55,0.55,6.38,7.33, 30.0 ,Good,1
7.75,28.5,5.02,0.57,6.67,5.9, 30.0 ,Good,1
7.0,32.5,6.8,0.56,6.0,5.9, 30.0 ,Good,1
6.5,34.75,7.12,0.4,5.7,4.9, 30.0 ,Good,1
8.5,26.0,6.98,0.55,6.7,4.9, 32.0 ,Good,1
9.5,31.0,5.18,0.51,6.07,6.85, 32.0 ,Good,1
8.0,27.25,2.53,0.52,5.5,9.3, 32.0 ,Good,1
7.5,25.75,5.15,0.52,5.45,12.75, 32.0 ,Good,1
6.0,26.5,3.0,0.53,4.95,14.7, 32.0 ,Good,1
12.0,34.5,5.93,0.34,6.72,9.3, 33.0 ,Good,1
10.75,36.5,9.18,0.29,7.18,7.83, 33.0 ,Good,1
9.5,35.25,8.25,0.54,7.4,7.83, 33.0 ,Good,1
10.5,28.5,7.68,0.52,7.43,4.9, 33.0 ,Good,1
8.5,31.25,6.2,0.55,7.85,7.85, 33.0 ,Good,1
6.75,24.75,6.12,0.54,7.4,3.9, 33.0 ,Good,1
6.0,21.0,9.85,0.53,7.8,3.9, 33.0 ,Good,1
10.0,27.5,5.25,0.56,6.95,6.38, 34.0 ,Good,1
10.25,28.5,5.83,0.56,7.12,6.38, 34.0 ,Good,1
7.5,28.0,5.75,0.71,7.52,8.8, 36.0 ,Good,1
6.0,31.0,7.73,0.53,7.5,8.8, 36.0 ,Good,1
5.5,21.75,5.73,0.42,6.8,6.85, 36.0 ,Good,1
6.75,27.5,10.88,0.55,6.2,5.9, 36.0 ,Good,1
6.75,53.75,10.05,0.54,6.5,3.9, 36.0 ,Good,1
9.0,46.0,12.1,0.46,6.25,4.9, 36.0 ,Good,1
9.0,43.0,10.8,0.35,6.0,4.88, 36.0 ,Good,1
14.75,53.0,13.35,0.62,5.92,2.95, 36.0 ,Good,1
9.75,41.0,16.7,0.71,6.05,3.93, 36.0 ,Good,1
13.25,46.75,7.58,0.28,5.27,7.83, 36.0 ,Good,1
7.5,35.0,3.47,0.36,5.38,10.8, 36.0 ,Good,1
6.25,28.0,3.8,0.44,4.92,13.72, 36.0 ,Good,1
7.25,25.0,2.82,0.43,4.9,15.67, 36.0 ,Good,1
7.75,22.75,2.1,0.13,6.7,17.13, 36.0 ,Good,1
6.5,16.5,4.32,0.72,3.85,17.65, 36.0 ,Good,1
4.75,20.0,3.12,0.73,3.98,17.65, 36.0 ,Good,1
5.5,26.0,3.65,0.75,5.52,21.1, 38.0 ,Good,1
16.25,39.25,9.95,0.43,15.77,16.65, 40.0 ,Good,1
20.0,49.25,13.78,0.41,10.0,14.2, 40.0 ,Good,1
22.0,50.75,8.92,0.5,8.15,10.3, 40.0 ,Good,1
28.0,53.0,9.83,0.47,7.7,7.33, 40.0 ,Good,1
23.5,46.75,10.58,0.44,7.47,6.85, 40.0 ,Good,1
18.25,42.0,8.95,0.56,8.03,5.9, 40.0 ,Good,1
16.5,38.5,10.38,0.61,10.33,4.4, 40.0 ,Good,1
18.5,36.5,8.97,0.6,7.4,3.9, 40.0 ,Good,1
8.25,17.0,3.15,0.49,6.88,11.25, 40.0 ,Good,1
6.0,14.0,3.18,0.45,6.33,7.83, 40.0 ,Good,1
29.75,40.5,41.25,0.81,7.35,3.9, 40.0 ,Good,1
29.75,44.5,41.0,0.68,6.25,17.65, 40.0 ,Good,1
18.75,38.0,7.82,0.62,2.9,11.75, 41.0 ,Good,1
31.75,41.5,42.0,0.82,7.48,4.43, 41.0 ,Good,1
30.0,36.25,37.83,0.48,7.02,5.4, 41.0 ,Good,1
27.0,36.25,29.88,0.38,6.48,2.98, 41.0 ,Good,1
26.0,43.5,15.55,0.55,5.6,21.58, 41.0 ,Good,1
22.5,44.25,12.9,0.53,5.9,15.67, 41.0 ,Good,1
20.25,39.5,7.9,0.44,3.97,22.55, 41.0 ,Good,1
17.25,32.5,9.95,0.34,4.55,39.2, 41.0 ,Good,1
15.0,42.75,8.23,0.56,6.2,19.1, 42.0 ,Good,1
26.75,64.5,15.05,0.73,5.77,25.5, 42.0 ,Good,1
12.0,61.25,5.53,0.84,8.15,20.58, 42.0 ,Good,1
14.0,59.75,3.5,0.55,9.47,11.75, 42.0 ,Good,1
10.75,39.5,3.85,0.59,9.13,9.8, 42.0 ,Good,1
9.25,24.25,3.4,0.61,8.75,8.8, 42.0 ,Good,1
7.5,21.0,4.72,0.53,7.45,8.3, 42.0 ,Good,1
7.75,29.25,6.57,0.51,7.1,8.3, 43.0 ,Good,1
11.0,56.25,7.3,0.69,8.57,27.92, 43.0 ,Good,1
11.25,37.5,8.5,0.52,0.2,19.6, 44.0 ,Good,1
10.25,29.5,2.63,0.45,5.0,29.4, 44.0 ,Good,1
11.5,31.5,2.67,0.21,6.2,14.23, 44.0 ,Good,1
11.75,34.75,7.25,0.53,6.33,5.9, 44.0 ,Good,1
7.75,25.25,6.85,0.58,6.38,5.9, 44.0 ,Good,1
7.5,24.0,4.27,0.55,6.35,12.7, 44.0 ,Good,1
8.0,50.0,13.8,0.36,6.63,26.47, 44.0 ,Good,1
6.0,53.5,7.7,0.48,9.42,23.05, 44.0 ,Good,1
6.5,24.0,6.88,0.87,3.0,4.93, 44.0 ,Good,1
9.25,36.5,8.57,0.18,3.95,18.6, 45.0 ,Good,1
10.25,48.25,4.32,0.37,4.55,28.45, 45.0 ,Good,1
62.0,109.0,9.15,0.76,4.88,40.15, 46.0 ,Good,1
6.0,35.0,4.5,0.33,7.85,5.9, 46.0 ,Good,1
11.5,33.5,12.78,0.57,6.73,4.4, 46.0 ,Good,1
10.0,40.25,4.65,0.33,5.8,22.05, 46.0 ,Good,1
14.75,50.25,3.95,0.33,4.62,26.47, 46.0 ,Good,1
25.0,42.0,3.8,0.6,8.8,24.0, 47.0 ,Good,1
8.5,40.25,5.58,0.16,5.57,18.13, 47.0 ,Good,1
12.25,41.25,5.72,0.34,4.73,20.58, 47.0 ,Good,1
9.5,36.0,8.7,0.07,1.88,17.6, 48.0 ,Good,1
22.5,64.25,3.5,0.66,8.78,31.4, 48.0 ,Good,1
24.75,71.5,4.07,0.3,8.9,28.9, 48.0 ,Good,1
27.25,56.0,4.45,0.59,10.6,22.05, 48.0 ,Good,1
27.25,54.75,4.75,0.52,9.67,17.15, 48.0 ,Good,1
5.25,15.25,5.9,0.97,5.67,8.33, 48.0 ,Good,1
6.0,20.75,10.03,0.67,7.25,7.83, 48.0 ,Good,1
5.75,31.75,5.75,0.77,7.98,12.25, 48.0 ,Good,1
4.5,21.0,2.92,0.96,7.95,15.17, 48.0 ,Good,1
9.75,26.0,4.65,0.96,5.42,16.68, 48.0 ,Good,1
9.5,30.0,6.75,0.66,4.33,24.5, 48.0 ,Good,1
10.0,40.5,3.57,0.92,4.53,18.63, 48.0 ,Good,1
7.0,37.0,3.45,0.78,7.18,13.7, 48.0 ,Good,1
7.5,37.25,4.3,0.84,7.6,14.22, 48.0 ,Good,1
8.75,33.5,4.82,0.88,7.98,10.3, 48.0 ,Good,1
7.25,28.0,4.2,0.69,7.8,8.3, 48.0 ,Good,1
5.25,27.5,5.68,0.79,7.65,6.38, 48.0 ,Good,1
7.75,25.25,6.45,0.39,4.55,10.78, 48.0 ,Good,1
7.25,34.0,7.62,0.33,4.83,14.2, 48.0 ,Good,1
9.5,38.75,4.2,0.25,9.85,22.05, 48.0 ,Good,1
11.5,42.5,3.85,0.37,12.62,39.2, 48.0 ,Good,1
27.0,36.0,40.28,0.81,7.45,4.9, 48.0 ,Good,1
58.25,87.0,9.5,0.63,6.18,25.0, 49.0 ,Good,1
20.5,54.0,3.2,0.56,8.58,33.3, 49.0 ,Good,1
9.75,33.0,4.35,0.43,5.07,15.2, 49.0 ,Good,1
12.0,39.0,3.72,0.34,3.7,17.63, 49.0 ,Good,1
11.5,46.25,8.98,0.22,6.5,16.17, 50.0 ,Good,1
22.25,52.75,3.8,0.92,6.47,33.3, 50.0 ,Good,1
27.0,73.75,5.6,0.33,13.38,42.15, 50.0 ,Good,1
32.0,78.25,6.65,0.7,11.05,32.35, 50.0 ,Good,1
34.75,79.75,4.77,0.89,11.28,27.92, 50.0 ,Good,1
10.5,31.75,4.5,0.47,3.37,14.22, 50.0 ,Good,1
9.0,27.0,4.85,1.0,6.38,7.33, 50.0 ,Good,1
7.5,27.5,7.0,0.99,5.07,5.9, 50.0 ,Good,1
6.25,28.25,8.6,0.61,4.1,4.9, 50.0 ,Good,1
7.0,29.5,8.62,0.52,8.55,13.7, 50.0 ,Good,1
7.5,40.25,12.53,0.52,8.77,14.7, 50.0 ,Good,1
9.0,35.0,5.62,0.46,6.6,4.9, 50.0 ,Good,1
8.5,17.25,6.48,0.95,4.85,4.4, 50.0 ,Good,1
7.5,19.75,6.18,1.0,5.45,4.88, 50.0 ,Good,1
12.5,26.0,4.3,0.97,5.75,7.83, 50.0 ,Good,1
14.25,27.0,2.55,0.81,5.4,11.8, 50.0 ,Good,1
8.0,25.75,2.6,0.88,10.92,23.5, 50.0 ,Good,1
5.0,24.0,2.43,0.62,7.4,12.25, 50.0 ,Good,1
5.0,30.0,5.4,0.26,6.9,15.7, 50.0 ,Good,1
